staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
36,0.5,1.5,40.73232830001507,,40.717111800040584,40.73232830001507,41.23173630004749,41.23173630004749,41.23173630004749,41.531567300029565,41.88234100001864,left,-1.5,1,1,0.6460381000069901,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
37,0.5,1.5,41.89796360000037,,41.88252680003643,41.89796360000037,42.397681500006,42.397681500006,42.397681500006,42.697177300055046,42.94829990004655,left,-1.5,1,1,0.5334944999776781,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
38,0.5,1.0,42.963822300022,,42.948510300018825,42.963822300022,43.463421100052074,43.463421100052074,43.463421100052074,43.76297430001432,44.26368200004799,left,-1.0,1,1,0.7841821000329219,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
39,0.5,1.0,44.27902960003121,,44.26387390005402,44.27902960003121,44.77883940003812,44.77883940003812,44.77883940003812,45.07853300002171,45.37916970002698,right,1.0,1,1,0.5865303999744356,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
40,0.5,1.0,45.39488630002597,,45.37935160001507,45.39488630002597,45.894485600001644,45.894485600001644,45.894485600001644,46.194177800032776,46.42838800000027,right,1.0,1,1,0.5249782000319101,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
41,0.5,1.0,46.44411890004994,,46.428575500031,46.44411890004994,46.94382890005363,46.94382890005363,46.94382890005363,47.24327460001223,47.57743970002048,right,1.0,1,1,0.6201729999738745,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
42,0.5,1.0,47.592984900053125,,47.57762030005688,47.592984900053125,48.09253260004334,48.09253260004334,48.09253260004334,48.392178800015245,48.5432518000016,right,1.0,1,1,0.43456500000320375,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
43,0.5,1.0,48.55869860004168,,48.54343630000949,48.55869860004168,49.058379400055856,49.058379400055856,49.058379400055856,49.358134100039024,49.54286490002414,right,1.0,1,1,0.48008150001987815,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
44,0.5,1.0,49.55791230004979,,49.54305730003398,49.55791230004979,50.0575612000539,50.0575612000539,50.0575612000539,50.35722230002284,50.47483479999937,right,1.0,1,1,0.4090345000149682,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
45,0.5,1.0,50.490358100039884,,50.47502140002325,50.490358100039884,50.99025520001305,50.99025520001305,50.99025520001305,51.289749500050675,51.39086540002609,right,1.0,1,1,0.3975739000015892,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
46,0.5,1.0,51.40615160000743,,51.39106230001198,51.40615160000743,51.906064700044226,51.906064700044226,51.906064700044226,52.205503800010774,52.27335250005126,right,1.0,1,1,0.36540300003252923,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
47,0.5,1.0,52.28877080004895,,52.27354610001203,52.28877080004895,52.78856140002608,52.78856140002608,52.78856140002608,53.08829280000646,53.13931580004282,left,-1.0,0,0,0.345360699982848,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
48,0.5,1.5,53.1547988000093,,53.13950220000697,53.1547988000093,53.65443190000951,53.65443190000951,53.65443190000951,53.954233399999794,54.20482910005376,right,1.5,1,1,0.5398849999764934,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
49,0.5,1.5,54.22056040004827,,54.205009900033474,54.22056040004827,54.72013880003942,54.72013880003942,54.72013880003942,55.019930300011765,55.2372906000237,left,-1.5,1,1,0.5147415000246838,0001,001,2025-09-04_10h40.23.802,untitled,2024.2.4,60.050322182655684,2025-09-04 10h40.37.084545 +0530,
