thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,text.started,key_resp_2.started,welcome.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
28,0,28,up,1,1.4398715000061202,None,0,28,0,28,0,48.236717300002056,,,,,,,,,48.22168530000636,48.236717300002056,48.236717300002056,49.23597790000349,49.68701169999986,up,1,1.4398715000061202,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
29,0,29,up,1,1.4971627999984776,None,0,29,0,29,0,49.70221490000404,,,,,,,,,49.6874156000049,49.70221490000404,49.70221490000404,50.70148170000175,51.20279930000106,up,1,1.4971627999984776,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
30,0,30,down,1,1.4484086000011303,None,2,30,0,30,0,51.21790730000066,,,,,,,,,51.203178300005675,51.21790730000066,51.21790730000066,52.21727010000177,52.668775600002846,down,1,1.4484086000011303,None,2,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
31,0,31,up,0,1.3765925999978208,None,-4,31,0,31,0,52.683409900004335,,,,,,,,,52.66925020000053,52.683409900004335,52.683409900004335,53.68268030000036,54.06719150000572,up,0,1.3765925999978208,None,-4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
32,0,32,up,1,1.9380203999971855,None,0,32,0,32,0,54.08236910000414,,,,,,,,,54.067569800005,54.08236910000414,54.08236910000414,55.08153820000007,56.031652100005886,up,1,1.9380203999971855,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
33,0,33,down,1,1.5997435999961453,None,-4,33,0,33,0,56.04727339999954,,,,,,,,,56.0319604000033,56.04727339999954,56.04727339999954,57.06253810000635,57.66324380000151,down,1,1.5997435999961453,None,-4,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
34,0,34,up,1,1.7505162000015844,None,0,34,0,34,0,57.678481500006455,,,,,,,,,57.66360220000206,57.678481500006455,57.678481500006455,58.67785540000477,59.4449953000003,up,1,1.7505162000015844,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
35,0,35,up,1,1.4895741999935126,None,0,35,0,35,0,59.460324800005765,,,,,,,,,59.44531160000042,59.460324800005765,59.460324800005765,60.459666599999764,60.960642000005464,up,1,1.4895741999935126,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
36,0,36,down,1,1.608896799996728,None,-3,36,0,36,0,60.9760574000029,,,,,,,,,60.96101660000568,60.9760574000029,60.9760574000029,61.9752593000012,62.59300269999949,down,1,1.608896799996728,None,-3,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
37,0,37,up,1,1.41440230000444,None,0,37,0,37,0,62.60833940000157,,,,,,,,,62.59338660000503,62.60833940000157,62.60833940000157,63.60745730000053,64.02493660000619,up,1,1.41440230000444,None,0,0001,001,2025-09-08_13h25.54.696,untitled,2024.2.4,60.052125244881346,2025-09-08 13h26.10.770918 +0530,
