thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
88,0,88,[-0.337037037037037],[-0.025925925925925925],[1],[0],[0],[1.2576909000054002],['target'],88,0,88,0,146.14367170003243,,10,146.12395769997966,146.14367170003243,146.14367170003243,0.04047600005287677,147.38219779997598,[-0.337037037037037],[-0.025925925925925925],[1],[0],[0],[1.2576909000054002],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
89,0,89,[0.15648148148148147],[-0.09074074074074075],[1],[0],[0],[1.5289130000164732],['target'],89,0,89,0,147.41289079992566,,5,147.4016522000311,147.41289079992566,147.41289079992566,0.019240499939769506,148.9311642999528,[0.15648148148148147],[-0.09074074074074075],[1],[0],[0],[1.5289130000164732],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
90,0,90,[-0.28888888888888886],[0.2675925925925926],[1],[0],[0],[3.6878665999975055],['target'],90,0,90,0,148.9912156999344,,10,148.97209159994964,148.9912156999344,148.9912156999344,0.040687300032004714,152.66046009992715,[-0.28888888888888886],[0.2675925925925926],[1],[0],[0],[3.6878665999975055],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
91,0,91,[-0.09814814814814815],[-0.3101851851851852],[1],[0],[0],[1.2916527000488713],['target'],91,0,91,0,152.7193261999637,,10,152.7008332000114,152.7193261999637,152.7193261999637,0.040174399968236685,153.9929559000302,[-0.09814814814814815],[-0.3101851851851852],[1],[0],[0],[1.2916527000488713],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
92,0,92,[0.3175925925925926],[-0.41759259259259257],[1],[0],[0],[1.2892205000389367],['target'],92,0,92,0,154.03227780002635,,5,154.01983280002605,154.03227780002635,154.03227780002635,0.02650279994122684,155.30954499996733,[0.3175925925925926],[-0.41759259259259257],[1],[0],[0],[1.2892205000389367],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
93,0,93,[0.4648148148148148],[-0.29444444444444445],[1],[0],[0],[1.2103629000484943],['target'],93,0,93,0,155.3430781000061,,5,155.3310323000187,155.3430781000061,155.3430781000061,0.021287099923938513,156.5420248999726,[0.4648148148148148],[-0.29444444444444445],[1],[0],[0],[1.2103629000484943],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
94,0,94,[-0.03333333333333333],[-0.4981481481481482],[1],[0],[0],[2.7045296999858692],['target'],94,0,94,0,156.60201409994625,,10,156.5827812999487,156.60201409994625,156.60201409994625,0.04052310006227344,159.28781060001347,[-0.03333333333333333],[-0.4981481481481482],[1],[0],[0],[2.7045296999858692],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
95,0,95,[-0.4398148148148148],[-0.45185185185185184],[1],[0],[0],[1.657864199951291],['target'],95,0,95,0,159.34789640002418,,10,159.3282742999727,159.34789640002418,159.34789640002418,0.04026979999616742,160.98663759999909,[-0.4398148148148148],[-0.45185185185185184],[1],[0],[0],[1.657864199951291],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
96,0,96,[-0.33240740740740743],[0.12314814814814815],[1],[0],[0],[1.1938876999774948],['target'],96,0,96,0,161.0181762999855,,5,161.00763749994803,161.0181762999855,161.0181762999855,0.020797000033780932,162.2020549000008,[-0.33240740740740743],[0.12314814814814815],[1],[0],[0],[1.1938876999774948],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
97,0,97,[-0.024074074074074074],[0.08611111111111111],[1],[0],[0],[1.7610513999825343],['target'],97,0,97,0,162.23445049999282,,5,162.22295189998113,162.23445049999282,162.23445049999282,0.020704500027932227,163.98462270002346,[-0.024074074074074074],[0.08611111111111111],[1],[0],[0],[1.7610513999825343],['target'],0005,001,2025-09-30_16h21.33.209,Visual search main code,2024.2.4,60.06125045414499,2025-09-30 16h21.45.226921 +0530,
