pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,sequential.thisRepN,sequential.thisTrialN,sequential.thisN,sequential.thisIndex,fullRandom.thisRepN,fullRandom.thisTrialN,fullRandom.thisN,fullRandom.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,sequential.key_resp.keys,sequential.key_resp.corr,sequential.key_resp.rt,sequential.key_resp.duration,fullRandom.key_resp.keys,fullRandom.key_resp.corr,fullRandom.key_resp.rt,fullRandom.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,16,0,4,x,1,0.444883199990727,None,4,0,16,0,,,,,40.670935199945234,,40.656152299954556,40.670935199945234,41.66976939991582,41.66976939991582,41.66976939991582,41.66976939991582,41.68642059992999,42.66906270000618,42.66906270000618,43.12038679991383,x,1,0.444883199990727,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
150,v,17,1,4,v,1,0.4534795000217855,None,4,1,17,1,,,,,43.135343299945816,,43.120876299915835,43.135343299945816,44.134421499911696,44.134421499911696,44.134421499911696,44.134421499911696,44.134421499911696,45.133587799966335,45.133587799966335,45.60117799998261,v,1,0.4534795000217855,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
50,c,18,2,4,c,1,0.5142895999597386,None,4,2,18,2,,,,,45.6165478999028,,45.60157459997572,45.6165478999028,46.61561119998805,46.61561119998805,46.61561119998805,46.61561119998805,46.61561119998805,47.614726200001314,47.614726200001314,48.1322300999891,c,1,0.5142895999597386,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-150,z,19,3,4,z,1,0.4347035000100732,None,4,3,19,3,,,,,48.147563499980606,,48.13262609997764,48.147563499980606,49.146853199927136,49.146853199927136,49.146853199927136,49.146853199927136,49.146853199927136,50.14584729995113,50.14584729995113,50.596664599957876,z,1,0.4347035000100732,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-50,x,20,0,5,x,1,0.5024625000078231,None,5,0,20,0,,,,,50.612073299940675,,50.59704729996156,50.612073299940675,51.61130230000708,51.61130230000708,51.61130230000708,51.61130230000708,51.61130230000708,52.610465099918656,52.610465099918656,53.128435499966145,x,1,0.5024625000078231,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
150,v,21,1,5,v,1,0.4805138000519946,None,5,1,21,1,,,,,53.1432450999273,,53.129046999965794,53.1432450999273,54.14244619989768,54.14244619989768,54.14244619989768,54.14244619989768,54.14244619989768,55.14157079998404,55.14157079998404,55.62589369993657,v,1,0.4805138000519946,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
50,c,22,2,5,c,1,0.5508298999629915,None,5,2,22,2,,,,,55.64124239992816,,55.62631919991691,55.64124239992816,56.640370299923234,56.640370299923234,56.640370299923234,56.640370299923234,56.65694459993392,57.639466399909,57.639466399909,58.20668750000186,c,1,0.5508298999629915,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-150,z,23,3,5,z,1,0.4810205999528989,None,5,3,23,3,,,,,58.222124699968845,,58.20708059996832,58.222124699968845,59.22134799999185,59.22134799999185,59.22134799999185,59.22134799999185,59.22134799999185,60.22045209992211,60.22045209992211,60.70452619995922,z,1,0.4810205999528989,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
-50,x,24,0,6,x,1,0.39256599999498576,None,6,0,24,0,,,,,60.7201175999362,,60.70502339990344,60.7201175999362,61.71929089992773,61.71929089992773,61.71929089992773,61.71929089992773,61.71929089992773,62.71829069999512,62.71829069999512,63.119289099937305,x,1,0.39256599999498576,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
150,v,25,1,6,v,1,0.4440009000245482,None,6,1,25,1,,,,,63.134717499953695,,63.11972129996866,63.134717499953695,64.13389729999471,64.13389729999471,64.13389729999471,64.13389729999471,64.15032719995361,65.13282349996734,65.13282349996734,65.58383499993943,v,1,0.4440009000245482,None,,,,,0001,001,2025-10-02_14h48.33.284,Motor Seq Learning main code,2024.2.4,60.034567901835096,2025-10-02 14h50.34.067380 +0530,
