pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,sequential.thisRepN,sequential.thisTrialN,sequential.thisN,sequential.thisIndex,fullRandom.thisRepN,fullRandom.thisTrialN,fullRandom.thisN,fullRandom.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,trial.stopped,sequential.key_resp.keys,sequential.key_resp.corr,sequential.key_resp.rt,sequential.key_resp.duration,fullRandom.key_resp.keys,fullRandom.key_resp.corr,fullRandom.key_resp.rt,fullRandom.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,39,3,9,z,1,0.6863005999475718,None,9,3,39,3,,,,,101.81022969994228,,101.79637609992642,101.81022969994228,102.80932989995927,102.80932989995927,102.80932989995927,102.80932989995927,102.80932989995927,103.8085600999184,103.8085600999184,104.50989589991514,z,1,0.6863005999475718,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-50,x,40,0,10,x,1,0.6101429999107495,None,10,0,40,0,,,,,104.52445679996163,,104.51062469999306,104.52445679996163,105.5234775999561,105.5234775999561,105.5234775999561,105.5234775999561,105.5234775999561,106.52268049994018,106.52268049994018,107.13988829997834,x,1,0.6101429999107495,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
150,v,41,1,10,v,1,0.36906280007679015,None,10,1,41,1,,,,,107.15537459996995,,107.14027189998887,107.15537459996995,108.1546297998866,108.1546297998866,108.1546297998866,108.1546297998866,108.1546297998866,109.15367679996416,109.15367679996416,109.53829219995532,v,1,0.36906280007679015,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
50,c,42,2,10,c,1,0.3823773000622168,None,10,2,42,2,,,,,109.55338999989908,,109.53892769990489,109.55338999989908,110.5525397999445,110.5525397999445,110.5525397999445,110.5525397999445,110.5525397999445,111.55164189997595,111.55164189997595,111.93613969988655,c,1,0.3823773000622168,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-150,z,43,3,10,z,1,0.5204948000609875,None,10,3,43,3,,,,,111.95119529997464,,111.93660729995463,111.95119529997464,112.95062609994784,112.95062609994784,112.95062609994784,112.95062609994784,112.95062609994784,113.9495762999868,113.9495762999868,114.48390989995096,z,1,0.5204948000609875,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-50,x,44,0,11,x,1,0.4389087000163272,None,11,0,44,0,,,,,114.49903509998694,,114.48443929990754,114.49903509998694,115.49839139997493,115.49839139997493,115.49839139997493,115.49839139997493,115.49839139997493,116.49725249991752,116.49725249991752,116.94840409990866,x,1,0.4389087000163272,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
150,v,45,1,11,v,1,0.4791528999339789,None,11,1,45,1,,,,,116.96355079999194,,116.94888449995779,116.96355079999194,117.96275739988778,117.96275739988778,117.96275739988778,117.96275739988778,117.96275739988778,118.96191869990434,118.96191869990434,119.44638829992618,v,1,0.4791528999339789,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
50,c,46,2,11,c,1,0.5278540999861434,None,11,2,46,2,,,,,119.46141729992814,,119.44703609996941,119.46141729992814,120.46051249990705,120.46051249990705,120.46051249990705,120.46051249990705,120.46051249990705,121.45946239994373,121.45946239994373,121.99377099995036,c,1,0.5278540999861434,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-150,z,47,3,11,z,1,0.40622930007521063,None,11,3,47,3,,,,,122.00925339991227,,121.99419549992308,122.00925339991227,123.00837349996436,123.00837349996436,123.00837349996436,123.00837349996436,123.00837349996436,124.00676129991189,124.00676129991189,124.42495859996416,z,1,0.40622930007521063,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
-50,x,48,0,12,x,1,0.4378312999615446,None,12,0,48,0,,,,,124.43959679990076,,124.42555409995839,124.43959679990076,125.43885839998256,125.43885839998256,125.43885839998256,125.43885839998256,125.43885839998256,126.4379995999625,126.4379995999625,126.88933039992116,x,1,0.4378312999615446,None,,,,,0002,001,2025-10-02_15h03.34.045,Motor Seq Learning main code,2024.2.4,60.02350520193826,2025-10-02 15h03.45.366762 +0530,
